Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Behavior_Segment
12346.0,326,1,42.00000000000001,1,1,1,111,Lost
12347.0,2,6,3093.4300000000003,5,5,5,555,Champions
12348.0,75,3,534.44,2,3,3,233,Hibernating
12349.0,19,1,1439.3500000000001,4,1,4,414,Promising
12350.0,310,1,334.4,1,1,2,112,Lost
12352.0,36,8,1715.74,3,5,5,355,Loyal
12353.0,204,1,89.0,1,1,1,111,Lost
12354.0,232,1,1055.24,1,1,4,114,Cannot_Lose
12355.0,214,1,348.40000000000003,1,1,2,112,Lost
12356.0,23,3,1800.9300000000003,4,3,5,435,Loyal
12357.0,33,1,3919.0700000000006,3,1,5,315,Promising
12358.0,2,2,562.6600000000001,5,2,3,523,Promising
12359.0,58,4,5079.53,3,4,5,345,Loyal
12360.0,52,3,2251.36,3,3,5,335,Loyal
12361.0,287,1,189.9,1,1,1,111,Lost
12362.0,3,10,5104.53,5,5,5,555,Champions
12363.0,110,2,497.28000000000003,2,2,3,223,Hibernating
12364.0,8,4,1287.3,5,4,4,544,Champions
12365.0,291,2,362.69,1,2,2,122,Hibernating
12367.0,4,1,168.9,5,1,1,511,Recent_Customers
12370.0,51,2,1540.51,3,2,4,324,Need_Attention
12371.0,45,2,1489.26,3,2,4,324,Need_Attention
12372.0,72,3,1172.94,2,3,4,234,At_Risk
12373.0,311,1,364.6,1,1,2,112,Lost
12374.0,25,1,654.91,4,1,3,413,Promising
12375.0,11,2,437.1,5,2,3,523,Promising
12377.0,315,1,570.9000000000001,1,1,3,113,Cannot_Lose
12378.0,130,1,3939.68,2,1,5,215,Cannot_Lose
12379.0,82,2,815.0400000000001,2,2,4,224,At_Risk
12380.0,22,4,2185.4700000000003,4,4,5,445,Champions
12381.0,5,5,1583.31,5,4,4,544,Champions
12383.0,185,4,1156.9,1,4,4,144,Cannot_Lose
12384.0,29,2,509.27000000000004,4,2,3,423,Potential_Loyalist
12386.0,338,1,84.00000000000001,1,1,1,111,Lost
12388.0,16,6,2496.34,4,5,5,455,Champions
12390.0,80,1,546.84,2,1,3,213,About_to_Sleep
12391.0,22,1,439.66,4,1,3,413,Promising
12393.0,72,4,1445.5,2,4,4,244,At_Risk
12394.0,64,2,630.9200000000001,3,2,3,323,Potential_Loyalist
12395.0,19,10,2223.81,4,5,5,455,Champions
12397.0,36,2,2204.4,3,2,5,325,Need_Attention
12398.0,46,1,1437.76,3,1,4,314,Promising
12399.0,119,4,1070.4,2,4,4,244,At_Risk
12401.0,303,1,84.3,1,1,1,111,Lost
12402.0,323,1,225.6,1,1,2,112,Lost
12403.0,50,1,171.90000000000003,3,1,1,311,Recent_Customers
12405.0,149,1,1326.49,2,1,4,214,Cannot_Lose
12406.0,22,2,2799.9900000000002,4,2,5,425,Promising
12407.0,50,5,1544.68,3,4,4,344,Loyal
12408.0,33,5,2332.29,3,4,5,345,Loyal
12409.0,79,3,4421.1900000000005,2,3,5,235,At_Risk
12410.0,309,2,575.33,1,2,3,123,Hibernating
12412.0,75,3,1184.3400000000001,2,3,4,234,At_Risk
12413.0,67,3,740.4000000000001,3,3,3,333,Potential_Loyalist
12414.0,217,3,498.81,1,3,3,133,At_Risk
12415.0,24,21,27108.370000000003,4,5,5,455,Champions
12417.0,3,8,3241.56,5,5,5,555,Champions
12418.0,113,1,596.63,2,1,3,213,About_to_Sleep
12420.0,64,1,600.39,3,1,3,313,Promising
12421.0,16,4,779.04,4,4,4,444,Loyal
12422.0,96,3,725.5600000000001,2,3,3,233,Hibernating
12423.0,1,7,1616.46,5,5,4,554,Champions
12424.0,163,2,861.5200000000001,2,2,4,224,At_Risk
12425.0,78,1,704.4,2,1,3,213,About_to_Sleep
12426.0,195,1,552.73,1,1,3,113,Cannot_Lose
12427.0,22,2,476.86,4,2,3,423,Potential_Loyalist
12428.0,26,9,6148.4800000000005,4,5,5,455,Champions
12429.0,9,3,1937.96,5,3,5,535,Need_Attention
12430.0,43,1,250.60000000000002,3,1,2,312,About_to_Sleep
12431.0,36,13,4281.72,3,5,5,355,Loyal
12432.0,43,5,2903.1200000000003,3,4,5,345,Loyal
12433.0,1,5,7052.880000000001,5,4,5,545,Champions
12434.0,85,2,797.54,2,2,4,224,At_Risk
12435.0,80,2,1506.0000000000002,2,2,4,224,At_Risk
12436.0,100,1,454.36,2,1,3,213,About_to_Sleep
12437.0,2,18,4450.2,5,5,5,555,Champions
12438.0,14,2,2080.65,4,2,5,425,Promising
12442.0,3,1,172.06,5,1,1,511,Recent_Customers
12444.0,21,5,3996.71,4,4,5,445,Champions
12445.0,22,1,119.4,4,1,1,411,Recent_Customers
12446.0,58,1,1002.3100000000001,3,1,4,314,Promising
12447.0,243,1,473.49,1,1,3,113,Cannot_Lose
12448.0,44,1,384.45,3,1,2,312,About_to_Sleep
12449.0,22,4,3656.69,4,4,5,445,Champions
12450.0,156,2,173.88,2,2,1,221,About_to_Sleep
12451.0,11,5,7980.5,5,4,5,545,Champions
12452.0,17,2,388.67,4,2,2,422,Recent_Customers
12453.0,134,1,707.09,2,1,3,213,About_to_Sleep
12454.0,56,1,630.0000000000001,3,1,3,313,Promising
12455.0,73,6,2075.7000000000003,2,5,5,255,At_Risk
12456.0,44,3,2475.76,3,3,5,335,Loyal
12457.0,66,7,1547.63,3,5,4,354,Loyal
12458.0,71,2,841.7,2,2,4,224,At_Risk
12461.0,94,2,646.08,2,2,3,223,Hibernating
12462.0,19,2,1021.59,4,2,4,424,Promising
12463.0,53,4,1344.78,3,4,4,344,Loyal
12464.0,10,8,905.5000000000001,5,5,4,554,Champions
12465.0,17,2,742.1899999999999,4,2,3,423,Potential_Loyalist
12468.0,188,2,700.74,1,2,3,123,Hibernating
12471.0,2,26,9655.79,5,5,5,555,Champions
12472.0,32,6,4532.93,3,5,5,355,Loyal
12473.0,29,5,2863.0,4,4,5,445,Champions
12474.0,17,18,7148.68,4,5,5,455,Champions
12475.0,54,1,705.6800000000001,3,1,3,313,Promising
12476.0,16,10,5508.47,4,5,5,455,Champions
12477.0,23,6,8384.900000000001,4,5,5,455,Champions
12478.0,4,1,587.99,5,1,3,513,Promising
12479.0,11,1,515.2,5,1,3,513,Promising
12480.0,28,4,2768.03,4,4,5,445,Champions
12481.0,23,8,4223.28,4,5,5,455,Champions
12483.0,17,8,1931.64,4,5,5,455,Champions
12484.0,33,6,4089.32,3,5,5,355,Loyal
12488.0,10,3,1178.8400000000001,5,3,4,534,Need_Attention
