Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Behavior_Segment
12346.0,179,6,259.36,1,4,2,142,At_Risk
12347.0,17,2,1280.72,5,2,4,524,Promising
12348.0,7,2,793.36,5,2,3,523,Promising
12349.0,57,3,2076.64,3,3,5,335,Loyal
12351.0,25,1,300.93,4,1,2,412,Recent_Customers
12352.0,25,2,343.8,4,2,2,422,Recent_Customers
12353.0,58,1,317.76,3,1,2,312,About_to_Sleep
12355.0,217,1,453.41,1,1,3,113,Cannot_Lose
12356.0,30,3,1872.2900000000002,4,3,5,435,Loyal
12357.0,38,2,4890.09,4,2,5,425,Promising
12358.0,25,2,867.7800000000001,4,2,4,424,Promising
12359.0,75,4,1611.97,3,4,4,344,Loyal
12360.0,29,5,1434.83,4,4,4,444,Loyal
12361.0,112,3,321.35,2,3,2,232,Hibernating
12366.0,283,1,126.00000000000003,1,1,1,111,Lost
12368.0,278,1,618.4000000000001,1,1,3,113,Cannot_Lose
12369.0,63,3,1526.43,3,3,4,334,Need_Attention
12370.0,7,5,2186.3900000000003,5,4,5,545,Champions
12371.0,59,3,1932.3200000000002,3,3,5,335,Loyal
12373.0,274,2,687.0500000000001,1,2,3,123,Hibernating
12374.0,71,3,1680.3000000000002,3,3,4,334,Need_Attention
12376.0,39,2,351.15000000000003,4,2,2,422,Recent_Customers
12377.0,4,3,2614.36,5,3,5,535,Need_Attention
12378.0,212,1,1407.7,1,1,4,114,Cannot_Lose
12379.0,72,2,764.98,3,2,3,323,Potential_Loyalist
12380.0,115,7,4213.89,2,5,5,255,At_Risk
12383.0,2,1,592.32,5,1,3,513,Promising
12385.0,29,1,1538.3000000000002,4,1,4,414,Promising
12386.0,16,1,228.3,5,1,2,512,Recent_Customers
12387.0,64,1,143.94,3,1,1,311,Recent_Customers
12388.0,95,2,996.9000000000001,2,2,4,224,At_Risk
12389.0,52,3,1146.23,3,3,4,334,Need_Attention
12391.0,114,5,2020.48,2,4,5,245,At_Risk
12392.0,241,1,177.15,1,1,1,111,Lost
12393.0,31,2,801.85,4,2,3,423,Potential_Loyalist
12395.0,7,5,2271.06,5,4,5,545,Champions
12396.0,324,1,931.43,1,1,4,114,Cannot_Lose
12399.0,35,3,848.85,4,3,4,434,Need_Attention
12400.0,64,1,205.25,3,1,1,311,Recent_Customers
12402.0,42,5,1031.3,4,4,4,444,Loyal
12403.0,171,1,162.00000000000003,1,1,1,111,Lost
12404.0,331,1,42.00000000000001,1,1,1,111,Lost
12406.0,49,3,1986.0200000000002,3,3,5,335,Loyal
12408.0,35,3,1139.6200000000001,4,3,4,434,Need_Attention
12409.0,70,4,6062.180000000001,3,4,5,345,Loyal
12410.0,152,1,282.38,2,1,2,212,Hibernating
12411.0,59,1,329.2,3,1,2,312,About_to_Sleep
